Marca,Moneda,Año,Trimestre,Nivel,Costo,Unidades
Rifle,COP,2025,Q1,TOTAL,13620861559.0,389416.0
Rifle,COP,2025,Q1,ICONICO,7908202383.0,229144.0
Rifle,COP,2025,Q1,MODA,5712659176.0,160272.0
Rifle,COP,2025,Q2,TOTAL,17548525780.0,444638.0
Rifle,COP,2025,Q2,ICONICO,9073533588.0,244342.0
Rifle,COP,2025,Q2,MODA,8474992192.0,200296.0
Rifle,COP,2025,Q3,TOTAL,19134007242.0,528818.0
Rifle,COP,2025,Q3,ICONICO,12401366720.0,347620.0
Rifle,COP,2025,Q3,MODA,6732640522.0,181198.0
Rifle,COP,2025,Q4,TOTAL,22073817253.0,591000.0
Rifle,COP,2025,Q4,ICONICO,8164064524.0,228533.0
Rifle,COP,2025,Q4,MODA,13909752729.0,362467.0
Rifle,COP,2026,Q1,TOTAL,14276872450.0,372630.0
Rifle,COP,2026,Q1,ICONICO,5925113388.0,164018.0
Rifle,COP,2026,Q1,MODA,8351759062.0,208612.0
Rifle,COP,2026,Q2,TOTAL,20287670500.0,489831.0
Rifle,COP,2026,Q2,ICONICO,7297462500.0,194599.0
Rifle,COP,2026,Q2,MODA,12990208000.0,295232.0
Rifle,COP,2026,Q3,TOTAL,20130809885.0,457207.0
Rifle,COP,2026,Q3,ICONICO,7024425000.0,187318.0
Rifle,COP,2026,Q3,MODA,13106384885.0,269889.0
Rifle,COP,2026,Q4,TOTAL,19404382306.0,418527.0
Rifle,COP,2026,Q4,ICONICO,4152847125.0,109106.0
Rifle,COP,2026,Q4,MODA,15251535181.0,309421.0
Rifle,COP,2027,Q1,TOTAL,8514783840.0,170450.0
Rifle,COP,2027,Q1,ICONICO,1621005750.0,40950.0
Rifle,COP,2027,Q1,MODA,6893778090.0,129500.0
Rifle,COP,2027,Q2,TOTAL,,
Rifle,COP,2027,Q2,ICONICO,,
Rifle,COP,2027,Q2,MODA,,
Rifle,COP,2027,Q3,TOTAL,,
Rifle,COP,2027,Q3,ICONICO,,
Rifle,COP,2027,Q3,MODA,,
Rifle,COP,2027,Q4,TOTAL,,
Rifle,COP,2027,Q4,ICONICO,,
Rifle,COP,2027,Q4,MODA,,
Rifle,COP,2025,Q1,PRESUPUESTO,18460704595.51137,240498.0
Rifle,COP,2025,Q2,PRESUPUESTO,25787422025.765697,338870.0
Rifle,COP,2025,Q3,PRESUPUESTO,27082415468.17318,374039.0
Rifle,COP,2025,Q4,PRESUPUESTO,62929912192.55814,857760.0
Rifle,COP,2026,Q1,PRESUPUESTO,21941562282.355663,279419.0
Rifle,COP,2026,Q2,PRESUPUESTO,30064390102.69234,365290.0
Rifle,COP,2026,Q3,PRESUPUESTO,30953000000.0,358806.0
Rifle,COP,2026,Q4,PRESUPUESTO,71937000000.0,819478.0
Rifle,COP,2027,Q1,PRESUPUESTO,21910242031.3556,272017.0
Rifle,COP,2027,Q2,PRESUPUESTO,,
Rifle,COP,2027,Q3,PRESUPUESTO,,
Rifle,COP,2027,Q4,PRESUPUESTO,,
Naf Naf,COP,2025,Q1,TOTAL,18677758754.3806,377333.0
Naf Naf,COP,2025,Q1,BASICO,4518629626.7991,98022.0
Naf Naf,COP,2025,Q1,COLECCIÓN,12288403421.724,240820.0
Naf Naf,COP,2025,Q1,ELEMENT,1870725705.8575,38491.0
Naf Naf,COP,2025,Q2,TOTAL,25976712832.6845,512895.0
Naf Naf,COP,2025,Q2,BASICO,2269046318.7094,44759.0
Naf Naf,COP,2025,Q2,COLECCIÓN,21496733859.9751,421687.0
Naf Naf,COP,2025,Q2,ELEMENT,2210932654.0,46449.0
Naf Naf,COP,2025,Q3,TOTAL,29440813828.2508,612424.0
Naf Naf,COP,2025,Q3,BASICO,2701638689.8910995,51618.0
Naf Naf,COP,2025,Q3,COLECCIÓN,22292388377.9471,462114.0
Naf Naf,COP,2025,Q3,ELEMENT,4446786760.4126,98692.0
Naf Naf,COP,2025,Q4,TOTAL,27094823266.0063,561300.0
Naf Naf,COP,2025,Q4,BASICO,2390768912.4294996,44576.0
Naf Naf,COP,2025,Q4,COLECCIÓN,21399581186.74,446290.0
Naf Naf,COP,2025,Q4,ELEMENT,3304473166.8368,70434.0
Naf Naf,COP,2026,Q1,TOTAL,16071845920.0,332182.0
Naf Naf,COP,2026,Q1,BASICO,1335860465.0,25184.0
Naf Naf,COP,2026,Q1,COLECCIÓN,12161288081.0,255951.0
Naf Naf,COP,2026,Q1,ELEMENT,2574697374.0,51047.0
Naf Naf,COP,2026,Q2,TOTAL,24962426222.0,463726.0
Naf Naf,COP,2026,Q2,BASICO,2871299863.0,53476.0
Naf Naf,COP,2026,Q2,COLECCIÓN,19301182720.0,354519.0
Naf Naf,COP,2026,Q2,ELEMENT,2789943639.0,55731.0
Naf Naf,COP,2026,Q3,TOTAL,30935366500.0,577530.0
Naf Naf,COP,2026,Q3,BASICO,4450825500.0,83193.0
Naf Naf,COP,2026,Q3,COLECCIÓN,23459490000.0,434435.0
Naf Naf,COP,2026,Q3,ELEMENT,3025051000.0,59902.0
Naf Naf,COP,2026,Q4,TOTAL,22121700500.0,414244.0
Naf Naf,COP,2026,Q4,BASICO,2287178500.0,42751.0
Naf Naf,COP,2026,Q4,COLECCIÓN,16572222000.0,306893.0
Naf Naf,COP,2026,Q4,ELEMENT,3262300000.0,64600.0
Naf Naf,COP,2027,Q1,TOTAL,12294908000.0,229677.0
Naf Naf,COP,2027,Q1,BASICO,658050000.0,12300.0
Naf Naf,COP,2027,Q1,COLECCIÓN,10172358000.0,188377.0
Naf Naf,COP,2027,Q1,ELEMENT,1464500000.0,29000.0
Naf Naf,COP,2027,Q2,TOTAL,,
Naf Naf,COP,2027,Q2,BASICO,,
Naf Naf,COP,2027,Q2,COLECCIÓN,,
Naf Naf,COP,2027,Q2,ELEMENT,,
Naf Naf,COP,2027,Q3,TOTAL,,
Naf Naf,COP,2027,Q3,BASICO,,
Naf Naf,COP,2027,Q3,COLECCIÓN,,
Naf Naf,COP,2027,Q3,ELEMENT,,
Naf Naf,COP,2027,Q4,TOTAL,,
Naf Naf,COP,2027,Q4,BASICO,,
Naf Naf,COP,2027,Q4,COLECCIÓN,,
Naf Naf,COP,2027,Q4,ELEMENT,,
American Eagle,USD,2025,Q1,TOTAL,2883914.810000002,362823.0
American Eagle,USD,2025,Q1,Core,1421116.5600000017,181964.0
American Eagle,USD,2025,Q1,Core Fashion,1004918.9099999998,103894.0
American Eagle,USD,2025,Q1,Fashion,457879.3400000003,76965.0
American Eagle,USD,2025,Q2,TOTAL,1795053.2200000002,185120.0
American Eagle,USD,2025,Q2,Core,697105.1299999993,83790.0
American Eagle,USD,2025,Q2,Core Fashion,749195.3100000002,63780.0
American Eagle,USD,2025,Q2,Fashion,348752.7800000006,37550.0
American Eagle,USD,2025,Q3,TOTAL,3518322.4799999953,388036.0
American Eagle,USD,2025,Q3,Core,1946916.7299999967,234458.0
American Eagle,USD,2025,Q3,Core Fashion,1076471.7399999995,93513.0
American Eagle,USD,2025,Q3,Fashion,494934.0099999995,60065.0
American Eagle,USD,2025,Q4,TOTAL,4005390.099999996,383079.0
American Eagle,USD,2025,Q4,Core,1706015.4099999964,193231.0
American Eagle,USD,2025,Q4,Core Fashion,1748372.45,132743.0
American Eagle,USD,2025,Q4,Fashion,551002.2399999994,57105.0
American Eagle,USD,2026,Q1,TOTAL,3668682.3800000036,383691.0
American Eagle,USD,2026,Q1,Core,1520673.070000001,179035.0
American Eagle,USD,2026,Q1,Core Fashion,1341267.4000000022,114487.0
American Eagle,USD,2026,Q1,Fashion,806741.9099999999,90169.0
American Eagle,USD,2026,Q2,TOTAL,2421454.8500000015,271042.0
American Eagle,USD,2026,Q2,Core,879263.6900000022,124920.0
American Eagle,USD,2026,Q2,Core Fashion,1090087.1199999994,94399.0
American Eagle,USD,2026,Q2,Fashion,452104.0400000001,51723.0
American Eagle,USD,2026,Q3,TOTAL,4867581.620000007,524735.0
American Eagle,USD,2026,Q3,Core,1514402.0900000024,220311.0
American Eagle,USD,2026,Q3,Core Fashion,2449018.3700000043,206210.0
American Eagle,USD,2026,Q3,Fashion,904161.16,98214.0
American Eagle,USD,2026,Q4,TOTAL,3302980.0,367170.0
American Eagle,USD,2026,Q4,Core,947067.0,147914.0
American Eagle,USD,2026,Q4,Core Fashion,1891865.0,161908.0
American Eagle,USD,2026,Q4,Fashion,464048.0,57348.0
American Eagle Internacional,USD,2025,Q1,TOTAL,1666273.4412000007,154173.0
American Eagle Internacional,USD,2025,Q1,Ecuador,450217.68000000005,39342.0
American Eagle Internacional,USD,2025,Q1,Guatemala,1216055.7612000008,114831.0
American Eagle Internacional,USD,2025,Q1,Perú,,
American Eagle Internacional,USD,2025,Q2,TOTAL,1154244.3422313964,115255.0
American Eagle Internacional,USD,2025,Q2,Ecuador,234183.81,18590.0
American Eagle Internacional,USD,2025,Q2,Guatemala,621293.833766234,68669.0
American Eagle Internacional,USD,2025,Q2,Perú,298766.6984651624,27996.0
American Eagle Internacional,USD,2025,Q3,TOTAL,1393315.121001814,130312.0
American Eagle Internacional,USD,2025,Q3,Ecuador,403858.8300000001,31924.0
American Eagle Internacional,USD,2025,Q3,Guatemala,965449.8623376624,97526.0
American Eagle Internacional,USD,2025,Q3,Perú,24006.42866415165,862.0
American Eagle Internacional,USD,2025,Q4,TOTAL,1965687.3215935063,179136.0
American Eagle Internacional,USD,2025,Q4,Ecuador,470159.72000000003,36002.0
American Eagle Internacional,USD,2025,Q4,Guatemala,1000181.7415935068,95868.0
American Eagle Internacional,USD,2025,Q4,Perú,495345.8599999994,47266.0
American Eagle Internacional,USD,2026,Q1,TOTAL,1068305.481206494,98968.0
American Eagle Internacional,USD,2026,Q1,Ecuador,124675.34000000001,10409.0
American Eagle Internacional,USD,2026,Q1,Guatemala,555883.561206494,51704.0
American Eagle Internacional,USD,2026,Q1,Perú,387746.57999999984,36855.0
American Eagle Internacional,USD,2026,Q2,TOTAL,1459256.5441163683,129888.0
American Eagle Internacional,USD,2026,Q2,Ecuador,380633.1932000001,26718.0
American Eagle Internacional,USD,2026,Q2,Guatemala,844727.0095106615,81072.0
American Eagle Internacional,USD,2026,Q2,Perú,233896.34140570668,22098.0
American Eagle Internacional,USD,2026,Q3,TOTAL,2220919.100926454,206815.0
American Eagle Internacional,USD,2026,Q3,Ecuador,394788.3449064553,31367.0
American Eagle Internacional,USD,2026,Q3,Guatemala,1725854.4160199992,157795.0
American Eagle Internacional,USD,2026,Q3,Perú,100276.34,17653.0
American Eagle Internacional,USD,2026,Q4,TOTAL,2138957.015400658,193223.0
American Eagle Internacional,USD,2026,Q4,Ecuador,536730.5640400002,38223.0
American Eagle Internacional,USD,2026,Q4,Guatemala,1400558.2906591273,135000.0
American Eagle Internacional,USD,2026,Q4,Perú,201668.1607015304,20000.0
Mango,COP,2025,Q1,TOTAL,15420890230.619999,201490.0
Mango,COP,2025,Q1,BASICOS,11784837047.4,162154.0
Mango,COP,2025,Q1,MODA,3636053183.22,39336.0
Mango,COP,2025,Q2,TOTAL,11998163615.56,146102.0
Mango,COP,2025,Q2,BASICOS,7472089055.91,96844.0
Mango,COP,2025,Q2,MODA,4526074559.65,49258.0
Mango,COP,2025,Q3,TOTAL,15094857364.869999,190995.0
Mango,COP,2025,Q3,BASICOS,9794939320.39,134150.0
Mango,COP,2025,Q3,MODA,5299918044.48,56845.0
Mango,COP,2025,Q4,TOTAL,16282704325.76,192862.0
Mango,COP,2025,Q4,BASICOS,10573915822.49,130464.0
Mango,COP,2025,Q4,MODA,5708788503.27,62398.0
Mango,COP,2026,Q1,TOTAL,12455788113.12,166432.0
Mango,COP,2026,Q1,BASICOS,8903539112.27,124753.0
Mango,COP,2026,Q1,MODA,3552249000.85,41679.0
Mango,COP,2026,Q2,TOTAL,13019291372.97,176230.0
Mango,COP,2026,Q2,BASICOS,9394652942.97,131104.0
Mango,COP,2026,Q2,MODA,3624638430.0,45126.0
Mango,COP,2026,Q3,TOTAL,15094857364.869999,190995.0
Mango,COP,2026,Q3,BASICOS,9794939320.39,134150.0
Mango,COP,2026,Q3,MODA,5299918044.48,56845.0
Mango,COP,2026,Q4,TOTAL,16282704325.76,192862.0
Mango,COP,2026,Q4,BASICOS,10573915822.49,130464.0
Mango,COP,2026,Q4,MODA,5708788503.27,62398.0
Moft,COP,2025,Q1,TOTAL,,
Moft,COP,2025,Q1,MODA,,
Moft,COP,2025,Q2,TOTAL,,
Moft,COP,2025,Q2,MODA,,
Moft,COP,2025,Q3,TOTAL,1857431360.7284,43744.0
Moft,COP,2025,Q3,MODA,1857431360.7284,43744.0
Moft,COP,2025,Q4,TOTAL,3707466744.6138,91536.0
Moft,COP,2025,Q4,MODA,3707466744.6138,91536.0
Moft,COP,2026,Q1,TOTAL,1944977767.7874002,41045.0
Moft,COP,2026,Q1,MODA,1944977767.7874002,41045.0
Moft,COP,2026,Q2,TOTAL,2277989401.33,45479.0
Moft,COP,2026,Q2,MODA,2277989401.33,45479.0
Moft,COP,2026,Q3,TOTAL,781310799.8319328,16260.0
Moft,COP,2026,Q3,MODA,781310799.8319328,16260.0
Moft,COP,2026,Q4,TOTAL,2655787752.6610646,56320.0
Moft,COP,2026,Q4,MODA,2655787752.6610646,56320.0
Moft,COP,2026,Q1,PRESUPUESTO,2424000000.0,
Moft,COP,2026,Q2,PRESUPUESTO,3744800000.0,
Moft,COP,2026,Q3,PRESUPUESTO,3656000000.0,
Moft,COP,2026,Q4,PRESUPUESTO,8945000000.0,
